연도,시도,회사,구분,길이
2001,강원,강원,공급관,90738.0
2001,강원,강원,본관,58172.0
2001,강원,참빛,공급관,5041.0
2001,강원,참빛,본관,18308.0
2001,강원,참빛영동,공급관,6186.0
2001,강원,참빛영동,본관,29817.0
2001,강원,참빛원주,공급관,64964.0
2001,강원,참빛원주,본관,71496.0
2001,경기,극동,공급관,136711.0
2001,경기,극동,본관,118823.0
2001,경기,대한,공급관,635695.0
2001,경기,대한,본관,298446.0
2001,경기,삼천리,공급관,1620679.0
2001,경기,삼천리,본관,886628.0
2001,경기,서울,공급관,244089.0
2001,경기,서울,본관,180707.0
2001,경기,한진,공급관,150911.0
2001,경기,한진,본관,111174.0
2001,경남,경남,공급관,447226.0
2001,경남,경남,본관,315373.0
2001,경남,신아,공급관,20893.0
2001,경남,신아,본관,61505.0
2001,경북,경북,공급관,22422.0
2001,경북,경북,본관,22094.0
2001,경북,구미,공급관,162396.0
2001,경북,구미,본관,119188.0
2001,경북,서라벌,공급관,28121.0
2001,경북,서라벌,본관,61019.0
2001,경북,포항,공급관,104470.0
2001,경북,포항,본관,114376.0
2001,광주,해양,공급관,312315.0
2001,광주,해양,본관,219551.0
2001,대구,대구,공급관,574651.0
2001,대구,대구,본관,513701.0
2001,대전,충남,공급관,305257.0
2001,대전,충남,본관,248981.0
2001,부산,부산,공급관,579586.0
2001,부산,부산,본관,506213.0
2001,서울,강남,공급관,420996.0
2001,서울,강남,본관,124411.0
2001,서울,극동,공급관,1372635.0
2001,서울,극동,본관,288269.0
2001,서울,대한,공급관,862367.0
2001,서울,대한,본관,361815.0
2001,서울,서울,공급관,2020110.0
2001,서울,서울,본관,373947.0
2001,서울,한진,공급관,545793.0
2001,서울,한진,본관,134778.0
2001,울산,경동,공급관,383006.0
2001,울산,경동,본관,366177.0
2001,인천,삼천리,공급관,330529.0
2001,인천,삼천리,본관,194715.0
2001,인천,인천,공급관,514674.0
2001,인천,인천,본관,232977.0
2001,전남,대화,공급관,17679.0
2001,전남,대화,본관,65835.0
2001,전남,목포,공급관,49939.0
2001,전남,목포,본관,49773.0
2001,전남,전남,공급관,44497.0
2001,전남,전남,본관,85814.0
2001,전북,군산,공급관,20284.0
2001,전북,군산,본관,60730.0
2001,전북,익산,공급관,32087.0
2001,전북,익산,본관,41616.0
2001,전북,전북,공급관,138066.0
2001,전북,전북,본관,129308.0
2001,충남,중부,공급관,100180.0
2001,충남,중부,본관,212840.0
2001,충남,한보,공급관,2856.0
2001,충남,한보,본관,48354.0
2001,충북,참빛충북,공급관,10706.0
2001,충북,참빛충북,본관,21141.0
2001,충북,청주,공급관,253681.0
2001,충북,청주,본관,131352.0
2002,강원,강원,공급관,111162.0
2002,강원,강원,본관,61442.0
2002,강원,참빛,공급관,5782.0
2002,강원,참빛,본관,21889.0
2002,강원,참빛영동,공급관,6196.0
2002,강원,참빛영동,본관,30817.0
2002,강원,참빛원주,공급관,68843.2
2002,강원,참빛원주,본관,84302.8
2002,경기,극동,공급관,155334.0
2002,경기,극동,본관,129006.0
2002,경기,대한,공급관,693832.0
2002,경기,대한,본관,346161.0
2002,경기,삼천리,공급관,1780314.0
2002,경기,삼천리,본관,944804.0
2002,경기,서울,공급관,293191.0
2002,경기,서울,본관,200007.0
2002,경기,한진,공급관,172124.0
2002,경기,한진,본관,117495.0
2002,경남,경남,공급관,482104.0
2002,경남,경남,본관,345313.0
2002,경남,신아,공급관,29231.0
2002,경남,신아,본관,65103.0
2002,경북,경북,공급관,27362.0
2002,경북,경북,본관,30052.0
2002,경북,구미,공급관,189619.0
2002,경북,구미,본관,125759.0
2002,경북,서라벌,공급관,34191.0
2002,경북,서라벌,본관,63238.0
2002,경북,포항,공급관,134644.0
2002,경북,포항,본관,116615.0
2002,광주,해양,공급관,365466.0
2002,광주,해양,본관,234757.0
2002,대구,대구,공급관,687707.0
2002,대구,대구,본관,527011.0
2002,대전,충남,공급관,372136.0
2002,대전,충남,본관,262248.0
2002,부산,부산,공급관,674245.0
2002,부산,부산,본관,555044.0
2002,서울,강남,공급관,424367.0
2002,서울,강남,본관,123505.0
2002,서울,극동,공급관,1410992.0
2002,서울,극동,본관,295343.0
2002,서울,대한,공급관,886114.0
2002,서울,대한,본관,374322.0
2002,서울,서울,공급관,2077899.0
2002,서울,서울,본관,381305.0
2002,서울,한진,공급관,573627.0
2002,서울,한진,본관,138410.0
2002,울산,경동,공급관,469636.0
2002,울산,경동,본관,374064.0
2002,인천,삼천리,공급관,363832.0
2002,인천,삼천리,본관,196675.0
2002,인천,인천,공급관,568530.0
2002,인천,인천,본관,238180.0
2002,전남,대화,공급관,19359.0
2002,전남,대화,본관,77396.0
2002,전남,목포,공급관,58994.0
2002,전남,목포,본관,54924.0
2002,전남,전남,공급관,48774.0
2002,전남,전남,본관,89284.0
2002,전북,군산,공급관,20707.0
2002,전북,군산,본관,64202.0
2002,전북,익산,공급관,40556.0
2002,전북,익산,본관,42189.0
2002,전북,전북,공급관,169050.0
2002,전북,전북,본관,131610.0
2002,충남,중부,공급관,146136.0
2002,충남,중부,본관,282139.0
2002,충남,한보,공급관,3629.0
2002,충남,한보,본관,50741.0
2002,충북,참빛충북,공급관,11404.0
2002,충북,참빛충북,본관,21512.0
2002,충북,청주,공급관,297072.0
2002,충북,청주,본관,136041.0
2003,강원,강원,공급관,127174.0
2003,강원,강원,본관,63436.0
2003,강원,참빛,공급관,6130.0
2003,강원,참빛,본관,25891.0
2003,강원,참빛영동,공급관,6478.0
2003,강원,참빛영동,본관,32822.0
2003,강원,참빛원주,공급관,83786.0
2003,강원,참빛원주,본관,85708.0
2003,경기,극동,공급관,169330.0
2003,경기,극동,본관,137110.0
2003,경기,대한,공급관,735019.0
2003,경기,대한,본관,359093.0
2003,경기,삼천리,공급관,1940910.0
2003,경기,삼천리,본관,1029323.0
2003,경기,서울,공급관,309615.0
2003,경기,서울,본관,216631.0
2003,경기,한진,공급관,194054.0
2003,경기,한진,본관,131080.0
2003,경남,경남,공급관,517445.0
2003,경남,경남,본관,373407.0
2003,경남,신아,공급관,32712.0
2003,경남,신아,본관,68995.0
2003,경북,경북,공급관,34490.0
2003,경북,경북,본관,34335.0
2003,경북,구미,공급관,220057.0
2003,경북,구미,본관,137859.0
2003,경북,서라벌,공급관,45551.0
2003,경북,서라벌,본관,70342.0
2003,경북,포항,공급관,168536.0
2003,경북,포항,본관,123768.0
2003,광주,해양,공급관,437164.0
2003,광주,해양,본관,242532.0
2003,대구,대구,공급관,839346.0
2003,대구,대구,본관,547856.0
2003,대전,충남,공급관,425492.0
2003,대전,충남,본관,280625.0
2003,부산,부산,공급관,763465.0
2003,부산,부산,본관,569915.0
2003,서울,강남,공급관,425397.0
2003,서울,강남,본관,124011.0
2003,서울,극동,공급관,1445415.0
2003,서울,극동,본관,301620.0
2003,서울,대한,공급관,890696.0
2003,서울,대한,본관,384220.0
2003,서울,서울,공급관,2126262.0
2003,서울,서울,본관,393914.0
2003,서울,한진,공급관,593242.0
2003,서울,한진,본관,139577.0
2003,울산,경동,공급관,558515.0
2003,울산,경동,본관,390135.0
2003,인천,삼천리,공급관,402808.0
2003,인천,삼천리,본관,207041.0
2003,인천,인천,공급관,613429.0
2003,인천,인천,본관,251116.0
2003,전남,대화,공급관,19588.0
2003,전남,대화,본관,77735.0
2003,전남,목포,공급관,67020.0
2003,전남,목포,본관,60237.0
2003,전남,전남,공급관,53908.0
2003,전남,전남,본관,92538.0
2003,전북,군산,공급관,21068.0
2003,전북,군산,본관,67671.0
2003,전북,익산,공급관,47178.0
2003,전북,익산,본관,43758.0
2003,전북,전북,공급관,215492.0
2003,전북,전북,본관,144600.0
2003,충남,서해,공급관,6727.0
2003,충남,서해,본관,57747.0
2003,충남,중부,공급관,173325.0
2003,충남,중부,본관,304585.0
2003,충북,참빛충북,공급관,13227.0
2003,충북,참빛충북,본관,22026.0
2003,충북,청주,공급관,313624.0
2003,충북,청주,본관,139830.0
2004,강원,강원,공급관,144026.0
2004,강원,강원,본관,63984.0
2004,강원,참빛,공급관,6621.0
2004,강원,참빛,본관,26516.0
2004,강원,참빛영동,공급관,8306.0
2004,강원,참빛영동,본관,34993.0
2004,강원,참빛원주,공급관,98705.0
2004,강원,참빛원주,본관,94003.0
2004,경기,극동,공급관,183771.0
2004,경기,극동,본관,149275.0
2004,경기,대한,공급관,768519.0
