연도,시도,회사,용도,수요가수,공급량
2001,강원,강원,개별난방용,23822.0,35680.0
2001,강원,강원,냉난방용,43.0,552.0
2001,강원,강원,산업용,5.0,25.0
2001,강원,강원,수송용,0.0,0.0
2001,강원,강원,업무난방용,379.0,7667.0
2001,강원,강원,연료전지용,,
2001,강원,강원,열병합용,0.0,0.0
2001,강원,강원,일반용1,923.0,2081.0
2001,강원,강원,일반용2,0.0,0.0
2001,강원,강원,집단에너지용,,
2001,강원,강원,취사용,15391.0,952.0
2001,강원,참빛,개별난방용,9946.0,6716.0
2001,강원,참빛,냉난방용,3.0,89.0
2001,강원,참빛,산업용,0.0,0.0
2001,강원,참빛,수송용,0.0,0.0
2001,강원,참빛,업무난방용,0.0,307.0
2001,강원,참빛,연료전지용,,
2001,강원,참빛,열병합용,0.0,0.0
2001,강원,참빛,일반용1,15.0,94.0
2001,강원,참빛,일반용2,0.0,0.0
2001,강원,참빛,집단에너지용,,
2001,강원,참빛,취사용,0.0,879.0
2001,강원,참빛영동,개별난방용,10277.0,8150.0
2001,강원,참빛영동,냉난방용,4.0,9.0
2001,강원,참빛영동,산업용,0.0,0.0
2001,강원,참빛영동,수송용,0.0,0.0
2001,강원,참빛영동,업무난방용,22.0,402.0
2001,강원,참빛영동,연료전지용,,
2001,강원,참빛영동,열병합용,0.0,0.0
2001,강원,참빛영동,일반용1,57.0,512.0
2001,강원,참빛영동,일반용2,0.0,0.0
2001,강원,참빛영동,집단에너지용,,
2001,강원,참빛영동,취사용,1003.0,54.0
2001,강원,참빛원주,개별난방용,32008.0,32130.0
2001,강원,참빛원주,냉난방용,37.0,503.0
2001,강원,참빛원주,산업용,6.0,3198.0
2001,강원,참빛원주,수송용,0.0,0.0
2001,강원,참빛원주,업무난방용,139.0,2510.0
2001,강원,참빛원주,연료전지용,,
2001,강원,참빛원주,열병합용,0.0,0.0
2001,강원,참빛원주,일반용1,401.0,1502.0
2001,강원,참빛원주,일반용2,0.0,0.0
2001,강원,참빛원주,집단에너지용,,
2001,강원,참빛원주,취사용,7930.0,4835.0
2001,경기,극동,개별난방용,100189.0,126627.0
2001,경기,극동,냉난방용,40.0,1572.0
2001,경기,극동,산업용,12.0,6605.0
2001,경기,극동,수송용,0.0,0.0
2001,경기,극동,업무난방용,809.0,5146.0
2001,경기,극동,연료전지용,,
2001,경기,극동,열병합용,0.0,0.0
2001,경기,극동,일반용1,1048.0,3573.0
2001,경기,극동,일반용2,46.0,4892.0
2001,경기,극동,집단에너지용,,
2001,경기,극동,취사용,20101.0,15092.0
2001,경기,대한,개별난방용,245289.0,237114.0
2001,경기,대한,냉난방용,213.0,7611.0
2001,경기,대한,산업용,225.0,49308.0
2001,경기,대한,수송용,1.0,54.0
2001,경기,대한,업무난방용,1939.0,23243.0
2001,경기,대한,연료전지용,,
2001,경기,대한,열병합용,2.0,1250.0
2001,경기,대한,일반용1,7644.0,20971.0
2001,경기,대한,일반용2,162.0,13966.0
2001,경기,대한,집단에너지용,,
2001,경기,대한,취사용,115635.0,41744.0
2001,경기,삼천리,개별난방용,909510.0,861582.0
2001,경기,삼천리,냉난방용,531.0,19537.0
2001,경기,삼천리,산업용,906.0,675526.0
2001,경기,삼천리,수송용,4.0,2908.0
2001,경기,삼천리,업무난방용,4195.0,89751.0
2001,경기,삼천리,연료전지용,,
2001,경기,삼천리,열병합용,0.0,0.0
2001,경기,삼천리,일반용1,10582.0,36050.0
2001,경기,삼천리,일반용2,284.0,28871.0
2001,경기,삼천리,집단에너지용,,
2001,경기,삼천리,취사용,371576.0,155634.0
2001,경기,서울,개별난방용,124069.0,122055.0
2001,경기,서울,냉난방용,115.0,5365.0
2001,경기,서울,산업용,97.0,11107.0
2001,경기,서울,수송용,0.0,0.0
2001,경기,서울,업무난방용,1995.0,9563.0
2001,경기,서울,연료전지용,,
2001,경기,서울,열병합용,0.0,0.0
2001,경기,서울,일반용1,8342.0,12338.0
2001,경기,서울,일반용2,213.0,10610.0
2001,경기,서울,집단에너지용,,
2001,경기,서울,취사용,135384.0,26433.0
2001,경기,한진,개별난방용,81065.0,109513.0
2001,경기,한진,냉난방용,48.0,1196.0
2001,경기,한진,산업용,138.0,31667.0
2001,경기,한진,수송용,0.0,0.0
2001,경기,한진,업무난방용,983.0,8670.0
2001,경기,한진,연료전지용,,
2001,경기,한진,열병합용,0.0,0.0
2001,경기,한진,일반용1,1051.0,4633.0
2001,경기,한진,일반용2,52.0,3514.0
2001,경기,한진,집단에너지용,,
2001,경기,한진,취사용,27509.0,12806.0
2001,경남,경남,개별난방용,170101.0,112789.0
2001,경남,경남,냉난방용,171.0,6644.0
2001,경남,경남,산업용,386.0,162838.0
2001,경남,경남,수송용,0.0,0.0
2001,경남,경남,업무난방용,565.0,16508.0
2001,경남,경남,연료전지용,,
2001,경남,경남,열병합용,0.0,0.0
2001,경남,경남,일반용1,15880.0,15419.0
2001,경남,경남,일반용2,190.0,10409.0
2001,경남,경남,집단에너지용,,
2001,경남,경남,취사용,24124.0,22818.0
2001,경남,신아,개별난방용,12144.0,11487.0
2001,경남,신아,냉난방용,13.0,857.0
2001,경남,신아,산업용,33.0,19917.0
2001,경남,신아,수송용,0.0,0.0
2001,경남,신아,업무난방용,8.0,1114.0
2001,경남,신아,연료전지용,,
2001,경남,신아,열병합용,0.0,0.0
2001,경남,신아,일반용1,70.0,230.0
2001,경남,신아,일반용2,3.0,519.0
2001,경남,신아,집단에너지용,,
2001,경남,신아,취사용,7364.0,672.0
2001,경북,경북,개별난방용,9259.0,7735.0
2001,경북,경북,냉난방용,6.0,97.0
2001,경북,경북,산업용,0.0,0.0
2001,경북,경북,수송용,0.0,0.0
2001,경북,경북,업무난방용,4.0,252.0
2001,경북,경북,연료전지용,,
2001,경북,경북,열병합용,0.0,0.0
2001,경북,경북,일반용1,232.0,537.0
2001,경북,경북,일반용2,0.0,0.0
2001,경북,경북,집단에너지용,,
2001,경북,경북,취사용,7232.0,682.0
2001,경북,구미,개별난방용,59071.0,52221.0
2001,경북,구미,냉난방용,32.0,1086.0
2001,경북,구미,산업용,168.0,219469.0
2001,경북,구미,수송용,0.0,0.0
2001,경북,구미,업무난방용,209.0,5700.0
2001,경북,구미,연료전지용,,
2001,경북,구미,열병합용,0.0,0.0
2001,경북,구미,일반용1,1433.0,3113.0
2001,경북,구미,일반용2,45.0,2421.0
2001,경북,구미,집단에너지용,,
2001,경북,구미,취사용,12209.0,7755.0
2001,경북,서라벌,개별난방용,25647.0,17975.0
2001,경북,서라벌,냉난방용,10.0,597.0
2001,경북,서라벌,산업용,16.0,16553.0
2001,경북,서라벌,수송용,0.0,0.0
2001,경북,서라벌,업무난방용,10.0,1247.0
2001,경북,서라벌,연료전지용,,
2001,경북,서라벌,열병합용,0.0,0.0
2001,경북,서라벌,일반용1,202.0,176.0
2001,경북,서라벌,일반용2,34.0,6922.0
2001,경북,서라벌,집단에너지용,,
2001,경북,서라벌,취사용,6783.0,2753.0
2001,경북,포항,개별난방용,37756.0,36698.0
2001,경북,포항,냉난방용,42.0,1388.0
2001,경북,포항,산업용,78.0,143831.0
2001,경북,포항,수송용,0.0,0.0
2001,경북,포항,업무난방용,135.0,2690.0
2001,경북,포항,연료전지용,,
2001,경북,포항,열병합용,0.0,0.0
2001,경북,포항,일반용1,511.0,1284.0
2001,경북,포항,일반용2,32.0,2238.0
2001,경북,포항,집단에너지용,,
2001,경북,포항,취사용,16751.0,4381.0
2001,광주,해양,개별난방용,211653.0,149623.0
2001,광주,해양,냉난방용,246.0,10664.0
2001,광주,해양,산업용,270.0,57369.0
2001,광주,해양,수송용,1.0,570.0
2001,광주,해양,업무난방용,927.0,19714.0
2001,광주,해양,연료전지용,,
2001,광주,해양,열병합용,1.0,55.0
2001,광주,해양,일반용1,4145.0,9802.0
2001,광주,해양,일반용2,57.0,4484.0
2001,광주,해양,집단에너지용,,
2001,광주,해양,취사용,35343.0,32347.0
2001,대구,대구,개별난방용,244216.0,247470.0
2001,대구,대구,냉난방용,332.0,15828.0
2001,대구,대구,산업용,843.0,293529.0
2001,대구,대구,수송용,31.0,1873.0
2001,대구,대구,업무난방용,887.0,28859.0
2001,대구,대구,연료전지용,,
2001,대구,대구,열병합용,0.0,0.0
2001,대구,대구,일반용1,6633.0,11066.0
2001,대구,대구,일반용2,337.0,29026.0
2001,대구,대구,집단에너지용,,
2001,대구,대구,취사용,144959.0,44331.0
2001,대전,충남,개별난방용,150433.0,221143.0
2001,대전,충남,냉난방용,495.0,16407.0
2001,대전,충남,산업용,97.0,30677.0
2001,대전,충남,수송용,15.0,769.0
2001,대전,충남,업무난방용,742.0,51958.0
2001,대전,충남,연료전지용,,
2001,대전,충남,열병합용,1.0,188.0
2001,대전,충남,일반용1,4369.0,32168.0
2001,대전,충남,일반용2,124.0,8522.0
2001,대전,충남,집단에너지용,,
2001,대전,충남,취사용,119929.0,27307.0
2001,부산,부산,개별난방용,311924.0,288458.0
2001,부산,부산,냉난방용,550.0,28642.0
2001,부산,부산,산업용,466.0,226978.0
2001,부산,부산,수송용,1.0,675.0
2001,부산,부산,업무난방용,443.0,36175.0
2001,부산,부산,연료전지용,,
2001,부산,부산,열병합용,2.0,27634.0
2001,부산,부산,일반용1,6126.0,17101.0
2001,부산,부산,일반용2,395.0,40555.0
2001,부산,부산,집단에너지용,,
2001,부산,부산,취사용,162223.0,51928.0
2001,서울,강남,개별난방용,227952.0,218961.0
2001,서울,강남,냉난방용,143.0,3480.0
2001,서울,강남,산업용,186.0,22602.0
2001,서울,강남,수송용,0.0,0.0
2001,서울,강남,업무난방용,4901.0,23583.0
2001,서울,강남,연료전지용,,
2001,서울,강남,열병합용,0.0,0.0
2001,서울,강남,일반용1,3980.0,13143.0
2001,서울,강남,일반용2,103.0,7743.0
2001,서울,강남,집단에너지용,,
2001,서울,강남,취사용,39922.0,32556.0
2001,서울,극동,개별난방용,589212.0,624183.0
2001,서울,극동,냉난방용,784.0,35876.0
2001,서울,극동,산업용,57.0,14855.0
2001,서울,극동,수송용,0.0,0.0
2001,서울,극동,업무난방용,8771.0,145377.0
2001,서울,극동,연료전지용,,
2001,서울,극동,열병합용,6.0,163.0
2001,서울,극동,일반용1,14369.0,86385.0
2001,서울,극동,일반용2,447.0,34533.0
2001,서울,극동,집단에너지용,,
2001,서울,극동,취사용,82371.0,83172.0
2001,서울,대한,개별난방용,396388.0,403755.0
2001,서울,대한,냉난방용,1228.0,52404.0
2001,서울,대한,산업용,20.0,3479.0
2001,서울,대한,수송용,1.0,9.0
2001,서울,대한,업무난방용,10615.0,139919.0
2001,서울,대한,연료전지용,,
2001,서울,대한,열병합용,9.0,31504.0
2001,서울,대한,일반용1,16342.0,88029.0
2001,서울,대한,일반용2,283.0,24938.0
2001,서울,대한,집단에너지용,,
2001,서울,대한,취사용,183228.0,68185.0
2001,서울,서울,개별난방용,934616.0,957538.0
2001,서울,서울,냉난방용,815.0,26404.0
2001,서울,서울,산업용,102.0,87162.0
2001,서울,서울,수송용,9.0,2993.0
2001,서울,서울,업무난방용,17188.0,146886.0
2001,서울,서울,연료전지용,,
2001,서울,서울,열병합용,1.0,110500.0
2001,서울,서울,일반용1,28721.0,69530.0
2001,서울,서울,일반용2,812.0,33600.0
2001,서울,서울,집단에너지용,,
2001,서울,서울,취사용,209123.0,127416.0
2001,서울,한진,개별난방용,244292.0,310785.0
2001,서울,한진,냉난방용,158.0,4751.0
2001,서울,한진,산업용,161.0,2588.0
2001,서울,한진,수송용,1.0,81.0
2001,서울,한진,업무난방용,3056.0,39228.0
2001,서울,한진,연료전지용,,
2001,서울,한진,열병합용,1.0,99044.0
2001,서울,한진,일반용1,4440.0,17617.0
2001,서울,한진,일반용2,173.0,14397.0
2001,서울,한진,집단에너지용,,
2001,서울,한진,취사용,170465.0,47716.0
2001,울산,경동,개별난방용,167313.0,114781.0
2001,울산,경동,냉난방용,108.0,4033.0
2001,울산,경동,산업용,317.0,512079.0
2001,울산,경동,수송용,7.0,156.0
2001,울산,경동,업무난방용,553.0,10800.0
2001,울산,경동,연료전지용,,
2001,울산,경동,열병합용,0.0,0.0
2001,울산,경동,일반용1,2534.0,4985.0
2001,울산,경동,일반용2,111.0,8577.0
2001,울산,경동,집단에너지용,,
2001,울산,경동,취사용,19728.0,25201.0
2001,인천,삼천리,개별난방용,173412.0,193417.0
2001,인천,삼천리,냉난방용,140.0,4436.0
2001,인천,삼천리,산업용,426.0,287501.0
2001,인천,삼천리,수송용,7.0,321.0
2001,인천,삼천리,업무난방용,788.0,16614.0
2001,인천,삼천리,연료전지용,,
2001,인천,삼천리,열병합용,0.0,0.0
2001,인천,삼천리,일반용1,1580.0,7679.0
2001,인천,삼천리,일반용2,97.0,11173.0
2001,인천,삼천리,집단에너지용,,
2001,인천,삼천리,취사용,36092.0,25587.0
2001,인천,인천,개별난방용,350960.0,335888.0
2001,인천,인천,냉난방용,194.0,6874.0
2001,인천,인천,산업용,101.0,104893.0
2001,인천,인천,수송용,0.0,0.0
